RFC status,Topic 1,Topic 2,RFC,Title,Obsoleted by,
Proposed Standard,Other Applications,New RRs/Codes,4701,A DNS Resource Record (RR) for Encoding Dynamic Host Configuration Protocol (DHCP) Information (DHCID RR),
Proposed Standard,Name Registration & Protocols,,4698,An Address Registry (areg) Type for the Internet Registry Information Service,
Best Current Practice,Flaws/Errors & Reporting,,4697,Observed DNS Resolution Misbehavior,
Informational,IDNA/Globalization,Guidelines/Recommendations,4690,Review and Recommendations for Internationalized Domain Names (IDNs),
Informational,Email Application,Threats/Vulnerabilities & Patches,4686,Analysis of Threats Motivating DomainKeys Identified Mail (DKIM),
Informational,DNSSEC - General Operation,,4641,DNSSEC Operational Practices,6781
Proposed Standard,Transaction Authentication,,4635,HMAC SHA TSIG Algorithm Identifiers,8945
Proposed Standard,Clarification/Terminology,,4592,The Role of Wildcards in the Domain Name System,
Proposed Standard,DNSSEC - Algorithms/Keys,,4509,Use of SHA-256 in DNSSEC Delegation Signer (DS) Resource Records (RRs),
Proposed Standard,Data Collection & Representation,,4501,Domain Name System Uniform Resource Identifiers,
Informational,IPv6 Application,Guidelines/Recommendations,4472,Operational Considerations and Issues with IPv6 DNS,
Experimental,DNSSEC - General Operation,,4471,Derivation of DNS Name Predecessor and Successor,
Proposed Standard,DNSSEC - General Operation,,4470,Minimally Covering NSEC Records and DNSSEC On-line Signing,
Historic,DNSSEC - Others,New RRs/Codes,4431,The DNSSEC Lookaside Validation (DLV) DNS Resource Record,
Experimental,Email Application,New RRs/Codes,4408,"Sender Policy Framework (SPF) for Authorizing Use of Domains in E-Mail, Version 1",7208
Proposed Standard,PKI Application,New RRs/Codes,4398,Storing Certificates in the Domain Name System (DNS),
Informational,Clarification/Terminology,,4367,What's in a Name: False Assumptions about DNS Names,
Proposed Standard,Clarification/Terminology,,4343,Domain Name System (DNS) Case Insensitivity Clarification,
Informational,IPv6 Application,,4339,IPv6 Host Configuration of DNS Server Information Approaches,
Informational,Other Applications,,4322,Opportunistic Encryption using the Internet Key Exchange (IKE),
Proposed Standard,DNSSEC - Others,Name Registration & Protocols,4310,Domain Name System (DNS) Security Extensions Mapping for the Extensible Provisioning Protocol (EPP),5910
Informational,IDNA/Globalization,,4290,Suggested Practices for Registration of Internationalized Domain Names (IDN),
Proposed Standard,Other Applications,,4255,Using DNS to Securely Publish Secure Shell (SSH) Key Fingerprints,
Informational,IDNA/Globalization,,4185,National and Local Characters for DNS Top Level Domain (TLD) Names,
Informational,Servicing,,4183,A Suggested Scheme for DNS Resolution of Networks and Gateways,
Best Current Practice,Statement of Retirement,IPv6 Application,4159,Deprecation of ip6.int,
Proposed Standard,ENUM/DDDS,,4143,Facsimile Using Internet Mail (IFAX) Service of ENUM,
Proposed Standard,Name Registration & Protocols,ENUM/DDDS,4114,E.164 Number Mapping for the Extensible Provisioning Protocol (EPP),
Informational,IPv6 Application,Flaws/Errors & Reporting,4074,Common Misbehavior Against DNS Queries for IPv6 Addresses,
Proposed Standard,DNSSEC - General Operation,,4035,Protocol Modifications for the DNS Security Extensions,
Proposed Standard,DNSSEC - General Operation,New RRs/Codes,4034,Resource Records for the DNS Security Extensions,
Proposed Standard,DNSSEC - General Operation,,4033,DNS Security Introduction and Requirements,
Informational,Data Collection & Representation,,4027,Domain Name System Media Types,
Proposed Standard,Other Applications,,4025,A Method for Storing IPsec Keying Material in DNS,
Proposed Standard,Name Registration & Protocols,,3982,IRIS: A Domain Registry (dreg) Type for the Internet Registry Information Service (IRIS),
Proposed Standard,ENUM/DDDS,SRV/SVCB Functionalities,3958,Domain-Based Application Service Location Using SRV RRs and the Dynamic Delegation Discovery Service (DDDS),
Proposed Standard,Name Registration & Protocols,,3915,Domain Registry Grace Period Mapping for the Extensible Provisioning Protocol (EPP),
Best Current Practice,IPv6 Application,Guidelines/Recommendations,3901,DNS IPv6 Transport Operational Guidelines,
Proposed Standard,DNSSEC - General Operation,,3845,DNS Security (DNSSEC) NextSECure (NSEC) RDATA Format,"4033, 4034, 4035"
Informational,DNSSEC - Problem Statement,Threats/Vulnerabilities & Patches,3833,Threat Analysis of the Domain Name System (DNS),
Experimental,SRV/SVCB Functionalities,,3832,Remote Service Discovery in the Service Location Protocol (SLP) via DNS SRV,
Proposed Standard,ENUM/DDDS,,3761,The E.164 to Uniform Resource Identifiers (URI) Dynamic Delegation Discovery System (DDDS) Application (ENUM),"6116, 6117"
Proposed Standard,DNSSEC - Algorithms/Keys,,3757,Domain Name System KEY (DNSKEY) Resource Record (RR) Secure Entry Point (SEP) Flag,"4033, 4034, 4035"
Proposed Standard,DNSSEC - General Operation,,3755,Legacy Resolver Compatibility for Delegation Signer (DS),"4033, 4034, 4035"
Informational,IDNA/Globalization,,3743,"Joint Engineering Team (JET) Guidelines for Internationalized Domain Names (IDN) Registration and Administration for Chinese, Japanese, and Korean",
Proposed Standard,Name Registration & Protocols,,3733,Extensible Provisioning Protocol (EPP) Contact Mapping,4933
Proposed Standard,Name Registration & Protocols,,3732,Extensible Provisioning Protocol (EPP) Host Mapping,4932
Proposed Standard,Name Registration & Protocols,,3731,Extensible Provisioning Protocol (EPP) Domain Name Mapping,4931
Proposed Standard,Name Registration & Protocols,,3730,Extensible Provisioning Protocol (EPP),4930
Informational,Name Registration & Protocols,,3707,Cross Registry Internet Service Protocol (CRISP) Requirements,
Informational,Name Registration & Protocols,,3696,Application Techniques for Checking and Transformation of Names,
Best Current Practice,Reverse DNS,IPv6 Application,3681,Delegation of E.F.F.3.IP6.ARPA,
Informational,Namespace,Threats/Vulnerabilities & Patches,3675,.sex Considered Dangerous,
Experimental,Name Registration & Protocols,,3663,Domain Administrative Data in Lightweight Directory Access Protocol (LDAP),
Proposed Standard,DNSSEC - Algorithms/Keys,New RRs/Codes,3658,Delegation Signer (DS) Resource Record (RR),"4033, 4034, 4035"
Proposed Standard,DNSSEC - General Operation,,3655,Redefinition of DNS Authenticated Data (AD) bit,"4033, 4034, 4035"
Proposed Standard,IPv6 Application,,3646,DNS Configuration options for Dynamic Host Configuration Protocol for IPv6 (DHCPv6),
Proposed Standard,Transaction Authentication,,3645,Generic Security Service Algorithm for Secret Key Transaction Authentication for DNS (GSS-TSIG),
Informational,Name Registration & Protocols,,3632,VeriSign Registry Registrar Protocol (RRP) Version 2.0.0,
Proposed Standard,Servicing,Guidelines/Recommendations,3597,Handling of Unknown DNS Resource Record (RR) Types,
Internet Standard,IPv6 Application,,3596,DNS Extensions to Support IP Version 6,
Proposed Standard,IDNA/Globalization,,3492,Punycode: A Bootstring encoding of Unicode for Internationalized Domain Names in Applications (IDNA),
Proposed Standard,IDNA/Globalization,,3491,Nameprep: A Stringprep Profile for Internationalized Domain Names (IDN),5891
Proposed Standard,IDNA/Globalization,,3490,Internationalizing Domain Names in Applications (IDNA),"5890, 5891"
Informational,Clarification/Terminology,,3467,Role of the Domain Name System (DNS),
Proposed Standard,IDNA/Globalization,,3454,"Preparation of Internationalized Strings (""stringprep"")",7564
Proposed Standard,DNSSEC - Algorithms/Keys,,3445,Limiting the Scope of the KEY Resource Record (RR),"4033, 4034, 4035"
Proposed Standard,Statement of Retirement,,3425,Obsoleting IQUERY,
Best Current Practice,ENUM/DDDS,,3405,Dynamic Delegation Discovery System (DDDS) Part Five: URI.ARPA Assignment Procedures,
Proposed Standard,ENUM/DDDS,,3404,Dynamic Delegation Discovery System (DDDS) Part Four: The Uniform Resource Identifiers (URI),
Proposed Standard,ENUM/DDDS,,3403,Dynamic Delegation Discovery System (DDDS) Part Three: The Domain Name System (DNS) Database,
Proposed Standard,ENUM/DDDS,,3402,Dynamic Delegation Discovery System (DDDS) Part Two: The Algorithm,
Informational,ENUM/DDDS,,3401,Dynamic Delegation Discovery System (DDDS) Part One: The Comprehensive DDDS,
Proposed Standard,Other Applications,,3397,Dynamic Host Configuration Protocol (DHCP) Domain Search Option,
Informational,Name Registration & Protocols,,3375,Generic Registry-Registrar Protocol Requirements,
Informational,IPv6 Application,,3364,Tradeoffs in Domain Name System (DNS) Support for Internet Protocol version 6 (IPv6),
Informational,IPv6 Application,,3363,Representing Internet Protocol version 6 (IPv6) Addresses in the Domain Name System (DNS),
Informational,Servicing,,3258,Distributing Authoritative Name Servers via Shared Unicast Addresses,
Proposed Standard,DNSSEC - General Operation,Guidelines/Recommendations,3226,DNSSEC and IPv6 A6 aware server/resolver message size requirements,
Proposed Standard,DNSSEC - General Operation,,3225,Indicating Resolver Support of DNSSEC,
Informational,Statement of Retirement,,3197,Applicability Statement for DNS MIB Extensions,
Best Current Practice,Reverse DNS,Guidelines/Recommendations,3172,Management Guidelines & Operational Requirements for the Address and Routing Parameter Area Domain (arpa),
Best Current Practice,IPv6 Application,Reverse DNS,3152,Delegation of IP6.ARPA,3596
Informational,DNSSEC - Problem Statement,,3130,Notes from the State-Of-The-Technology: DNSSEC,
Experimental,New RRs/Codes,Other Applications,3123,A DNS RR Type for Lists of Address Prefixes (APL RR),
Proposed Standard,DNSSEC - Algorithms/Keys,,3110,RSA/SHA-1 SIGs and RSA KEYs in the Domain Name System (DNS),
Proposed Standard,DNSSEC - General Operation,,3090,DNS Security Extension Clarification on Zone Status,"4033, 4034, 4035"
Informational,Namespace,,3071,"Reflections on the DNS, RFC 1591, and Categories of Domains",
Informational,ENUM/DDDS,,3026,Liaison to IETF/ISOC on ENUM,
Proposed Standard,DNSSEC - General Operation,,3008,Domain Name System Security (DNSSEC) Signing Authority,"4033, 4034, 4035"
Proposed Standard,Zone Transfer/Update,,3007,Secure Domain Name System (DNS) Dynamic Update,
Proposed Standard,Transaction Authentication,,2931,DNS Request and Transaction Signatures ( SIG(0)s ),
Proposed Standard,Transaction Authentication,New RRs/Codes,2930,Secret Key Establishment for DNS (TKEY RR),
Best Current Practice,Clarification/Terminology,,2929,Domain Name System (DNS) IANA Considerations,5395
Proposed Standard,ENUM/DDDS,,2916,E.164 Number and DNS,3761
Proposed Standard,ENUM/DDDS,New RRs/Codes,2915,The Naming Authority Pointer (NAPTR) DNS Resource Record,"3401, 3402, 3403, 3404"
Historic,IPv6 Application,,2874,DNS Extensions to Support IPv6 Address Aggregation and Renumbering,
Best Current Practice,DNS Root,Guidelines/Recommendations,2870,Root Name Server Operational Requirements,7720
Proposed Standard,Transaction Authentication,New RRs/Codes,2845,Secret Key Transaction Authentication for DNS (TSIG),8945
Informational,Name Registration & Protocols,,2832,NSI Registry Registrar Protocol (RRP) Version 1.1.0,
Informational,DNS Root,Clarification/Terminology,2826,IAB Technical Comment on the Unique DNS Root,
Informational,IDNA/Globalization,,2825,"A Tangled Web: Issues of I18N, Domain Names, and the Other Internet protocols",
Proposed Standard,SRV/SVCB Functionalities,New RRs/Codes,2782,A DNS RR for specifying the location of services (DNS SRV),
Informational,New RRs/Codes,Other Applications,2694,DNS extensions to Network Address Translators (DNS_ALG),
Historic,Data Collection & Representation,,2673,Binary Labels in the Domain Name System,6891
Proposed Standard,New RRs/Codes,,2672,Non-Terminal DNS Name Redirection,6672
Proposed Standard,EDNS & Extensions,,2671,Extension Mechanisms for DNS (EDNS0),6891
Best Current Practice,Namespace,,2606,Reserved Top Level DNS Names,
Informational,DNSSEC - General Operation,,2541,DNS Security Operational Considerations,4641
Experimental,DNSSEC - General Operation,,2540,Detached Domain Name System (DNS) Information,
Proposed Standard,Transaction Authentication,,2539,Storage of Diffie-Hellman Keys in the Domain Name System (DNS),
Proposed Standard,PKI Application,New RRs/Codes,2538,Storing Certificates in the Domain Name System (DNS),4398
Proposed Standard,DNSSEC - Algorithms/Keys,,2537,RSA/MD5 KEYs and SIGs in the Domain Name System (DNS),3110
Proposed Standard,Transaction Authentication,,2536,DSA KEYs and SIGs in the Domain Name System (DNS),
Proposed Standard,DNSSEC - General Operation,,2535,Domain Name System Security Extensions,"4033, 4034, 4035"
Informational,Namespace,,2517,Building Directories from DNS: Experiences from WWWSeeker,
Informational,Namespace,,2352,A Convention For Using Legal Names as Domain Names,
Experimental,Namespace,,2345,Domain Names and Company Name Retrieval,
Best Current Practice,Reverse DNS,,2317,Classless IN-ADDR.ARPA delegation,
Proposed Standard,Servicing,,2308,Negative Caching of DNS Queries (DNS NCACHE),
Informational,Namespace,,2240,A Legal Basis for Domain Name Allocation,2352
Informational,Transaction Authentication,New RRs/Codes,2230,Key Exchange Delegation Record for the DNS,
Best Current Practice,Other Applications,,2219,Use of DNS Aliases for Network Services,
Best Current Practice,Servicing,,2182,Selection and Operation of Secondary DNS Servers,
Proposed Standard,Clarification/Terminology,,2181,Clarifications to the DNS Specification,
Experimental,ENUM/DDDS,,2168,Resolution of Uniform Resource Identifiers using the Domain Name System,"3401, 3402, 3403, 3404"
Proposed Standard,New RRs/Codes,Other Applications,2163,Using the Internet DNS to Distribute MIXER Conformant Global Address Mapping (MCGAM),
Informational,Namespace,,2146,U.S. Government Internet Domain Names,
Proposed Standard,Zone Transfer/Update,,2137,Secure Domain Name System Dynamic Update,3007
Proposed Standard,Zone Transfer/Update,,2136,Dynamic Updates in the Domain Name System (DNS UPDATE),
Proposed Standard,DNSSEC - General Operation,,2065,Domain Name System Security Extensions,2535
Informational,Namespace,,2053,The AM (Armenia) Domain,
Experimental,SRV/SVCB Functionalities,New RRs/Codes,2052,A DNS RR for specifying the location of services (DNS SRV),2782
Informational,DNS Root,Guidelines/Recommendations,2010,Operational Criteria for Root Name Servers,2870
Proposed Standard,Zone Transfer/Update,,1996,A Mechanism for Prompt Notification of Zone Changes (DNS NOTIFY),
Proposed Standard,Zone Transfer/Update,,1995,Incremental Zone Transfer in DNS,
Proposed Standard,Servicing,,1982,Serial Number Arithmetic,
Informational,Namespace,,1956,Registration in the MIL Domain,
Informational,Flaws/Errors & Reporting,,1912,Common DNS Operational and Configuration Errors,
Proposed Standard,IPv6 Application,,1886,DNS Extensions to support IP version 6,3596
Informational,Other Applications,,1877,PPP Internet Protocol Control Protocol Extensions for Name Server Addresses,
Experimental,New RRs/Codes,Other Applications,1876,A Means for Expressing Location Information in the Domain Name System,
Informational,Namespace,,1816,U.S. Government Internet Domain Names,2146
Informational,Namespace,,1811,U.S. Government Internet Domain Names,1816
Informational,Servicing,,1794,DNS Support for Load Balancing,
Historic,New RRs/Codes,Other Applications,1788,ICMP Domain Name Messages,
Informational,Servicing,,1713,Tools for DNS debugging,
Experimental,New RRs/Codes,Other Applications,1712,DNS Encoding of Geographical Location,
Historic,New RRs/Codes,Other Applications,1706,DNS NSAP Resource Records,
Experimental,New RRs/Codes,Other Applications,1664,Using the Internet DNS to Distribute RFC1327 Mail Address Mapping Tables,2163
Experimental,New RRs/Codes,Other Applications,1637,DNS NSAP Resource Records,1706
Historic,New RRs/Codes,,1612,DNS Resolver MIB Extensions,
Historic,New RRs/Codes,,1611,DNS Server MIB Extensions,
Informational,Namespace,,1591,Domain Name System Structure and Delegation,
Informational,Flaws/Errors & Reporting,,1537,Common DNS Data File Configuration Errors,1912
Informational,Flaws/Errors & Reporting,,1536,Common DNS Implementation Errors and Suggested Fixes,
Informational,Threats/Vulnerabilities & Patches,,1535,A Security Problem and Proposed Correction With Widely Deployed DNS Software,
Historic,Namespace,,1528,Principles of Operation for the TPC.INT Subdomain: Remote Printing -- Technical Procedures,9121
Informational,Namespace,,1480,The US Domain,
Experimental,New RRs/Codes,,1464,Using the Domain Name System To Store Arbitrary String Attributes,
Informational,Clarification/Terminology,,1401,Correspondence between the IAB and DISA on the use of DNS,
Informational,Other Applications,,1394,Relationship of Telex Answerback Codes to Internet Domains,
Informational,Namespace,,1386,The US Domain,1480
Experimental,Other Applications,,1383,An Experiment in DNS Based IP Routing,
Experimental,New RRs/Codes,,1348,DNS NSAP RRs,1637
Experimental,Namespace,,1279,X.500 and Domains,
Experimental,New RRs/Codes,,1183,New DNS RR Definitions,
Internet Standard,Clarification/Terminology,,1123,Requirements for Internet Hosts -- Application and Support,
Unknown,Reverse DNS,,1101,DNS encoding of network names and other types,
Internet Standard,Core DNS documents,,1035,Domain names - implementation and specification,
Internet Standard,Core DNS documents,,1034,Domain names - concepts and facilities,
Unknown,Core DNS documents,,1033,Domain Administrators Operations Guide,
Unknown,Core DNS documents,,973,Domain System Changes and Observations,"1034, 1035"
Unknown,Core DNS documents,,883,DOMAIN NAMES - IMPLEMENTATION and SPECIFICATION,"1034, 1035"
Unknown,Core DNS documents,,882,DOMAIN NAMES - CONCEPTS and FACILITIES,"1034, 1035"
